% mqtt logfile, enabled=true
% broker=tcp://localhost:1883
% context=drive
% client id=tif_in
% system=robobot/ (top level ID)
% function=drive/ (next level name)
% 1 	Time (sec)
% 2 	Quality of service 0=max once, 1=at least once, 2=once, S=subscribe
% 3 	'Topic'
% 4 	Message / payload
1740133742.7732 0 drive robobot/cmd/ti/log 1
1740133743.0677 0 drive robobot/cmd/T0/enc0  
1740133743.0679 0 drive robobot/cmd/T0/confw 0.075 0.075 19 68 0.23
1740133743.0681 0 drive robobot/cmd/T0/encrev 1
1740133743.0682 0 drive robobot/cmd/T0/confi  
1740133743.3596 0 drive robobot/cmd/T0/lip 1
1740133743.3800 0 drive robobot/cmd/T0/liwi  
1740133745.2939 0 drive robobot/cmd/ti/rc 0.250 -0.995 1740133745.2937667
1740133745.3037 0 drive robobot/cmd/ti/rc 0.250 -0.976 1740133745.3035727
1740133745.3153 0 drive robobot/cmd/ti/rc 0.250 -0.972 1740133745.314823
1740133745.3241 0 drive robobot/cmd/ti/rc 0.250 -0.950 1740133745.3240123
1740133745.3336 0 drive robobot/cmd/ti/rc 0.250 -0.938 1740133745.3335621
1740133745.3439 0 drive robobot/cmd/ti/rc 0.250 -0.903 1740133745.3436644
1740133745.3534 0 drive robobot/cmd/ti/rc 0.250 -0.888 1740133745.3533056
1740133745.3636 0 drive robobot/cmd/ti/rc 0.250 -0.878 1740133745.363529
1740133745.3738 0 drive robobot/cmd/ti/rc 0.250 -0.835 1740133745.3736408
1740133745.3834 0 drive robobot/cmd/ti/rc 0.250 -0.801 1740133745.3833268
1740133745.3947 0 drive robobot/cmd/ti/rc 0.250 -0.780 1740133745.3944082
1740133745.4043 0 drive robobot/cmd/ti/rc 0.250 -0.744 1740133745.404195
1740133745.4139 0 drive robobot/cmd/ti/rc 0.250 -0.698 1740133745.4138298
1740133745.4238 0 drive robobot/cmd/ti/rc 0.250 -0.669 1740133745.4236627
1740133745.4258 0 drive robobot/cmd/ti/alive 2025-02-21 11:29:02.769003
1740133745.4337 0 drive robobot/cmd/ti/rc 0.250 -0.620 1740133745.4335923
1740133745.4436 0 drive robobot/cmd/ti/rc 0.250 -0.592 1740133745.4434912
1740133745.4536 0 drive robobot/cmd/ti/rc 0.250 -0.557 1740133745.453472
1740133745.4634 0 drive robobot/cmd/ti/rc 0.250 -0.517 1740133745.4632518
